Comments,Ratings
"Stayed here for my second night in Singapore. because of all the hype on the infinity pool.   The infinity pool is just amazing. Looking over Singapore CBD skyline, a view unforgettable. Singapore skyline is just so beautiful.  The hotel is of higher end but worth it!",5
I've been here so many times with family and friends but the most accomodating and nicest staff we have met is the one from VIP registration Front Desk officer Mr Sam! He answered all our needs and inquiries! Please give a good commendation to him as he deserves it! Kudos to him! Thank u Marina Bay Sands for the enjoyable stay we had last wk! Keep it up!,5
"I visited Singapore, never been before, and... loved every minute of it.   The last two nights of the trip included a much anticipated stay at Marina Bay Sands (MBS). Let’s be up front right from the start, this is NOT a cheap hotel. It’s not moderately priced either. It’s expensive, big and busy. So, if you’re on a budget I’d suggest looking elsewhere.   We’d saved for this and went full Monty. The room booked was an Orchid Suite with a city view. I don’t mind paying a little more for “nice” sometimes but MBS is a few notches up.   So, I was a bit nervous that given its global reputation, it may not even be value for money - rather, just overpriced.   End the anticipation; it’s worth saving for. On arrival, bags are immediately collected at the door and an efficient delivery…",5
We visited the observation deck that is on the top the Marina Bay Sands Hotel.  WOW!  What a view of Singapore!  There is a small cafe and gift shop and a photographer to take your picture.  Pictures were $69.  A bit pricey for us.,5
Time at a Marina Bay sands felt like a visit to a tourist attraction instead of a relaxing getaway. It is actually a tourist attraction and the sheer number of rooms is mind boggling. It starts with queuing up to check in like you would at any tourist attraction. It is well organised but the personal nature itself was lost. The family room was amazing and when within the room it felt great. The pool was over crowded and my husband said he saw snot floating around. It was selfie central. I recommend going up at 6 am before the crowds come in. Good to have visited but unlikely to stay again.,4
"Spent just one night whilst in transit but well worth the visit. Arrived at 9h00 and was accommodated with not only an early check-in (normally 15h00) but an upgrade as well. Our suite on the 43rd floor was spacious, clean and inviting. The views of the bay area were spectacular. Off course, the main attraction was the infinite pool and there was absolutely no disappointment.The view was wonderful and the illusion that you could swim over the top of a skyscraper was phenomenal. The warm jacuzzi offering views of the bay area on the opposite side was also very relaxing. The staff in all areas of the hotel were professional and very helpful. Service was prompt and efficient.",5
"Forget the lion fountain. his hotel is now the new icon of Singapore. On all the postcards, magnets, bags etc. you'll see this amazing hotel. We chose to spend one night here to try the swimming pool, like most of the other customers, I would say, considering how crowded it was. Still, it was a nice experience. Rooms were very nice and ours had a simply amazing view on the Gardens by the Bay. Really amazing.  Singapore is like",5
"Who does not want to be in the landmark of Singapore? This hotel is a fantastic architectural masterpiece. The infinity pool lies on top of the three hotel towers like a fish or a boat. But be aware that rooms are equipped spartan: One chair for a two bedroom is not enough. We also experienced an unseen insist on tips. Tired form a town walk a hotel boy knocked at the door and hold an undesired bag ful of tea, giving it only against an adequate tip.",2
"I love this hotel, is very big, many people and the swiminpool is amazing, you can stay all they in. The view i love. There is a good breakfast and the service is very good. The room is very clean and very good.",5
"Booked club level room. Clearly everyone staying there because of the pool. The pool was superb with excellent view from sun rise to night time. The catch is, it’s overly crowded. It’s always packed with people regardless what time you think you may have avoided the peak. Everyone is busy taking pictures, speaking loudly. They have tight security in place which meant it’s annoying to genuine guest as you have to touch in touch out n go through to this level then switch again for the pool etc.   Club lounge was so-so with poor variety of choices. It’s way less given this hotel is massive!  However I have to give them extra credit for providing in room breakfast for us with the full set menu if our choice as we have to leave early for our flight n the restaurant was not opened…",3
"I expected a lot from this place after reading the reviews but I suspect the hype has slight hot out of control. Yes, it’s an amazing building. Yes, the views are spectacular, and yes, the bed was comfy and linen gorgeous. But for those of us in the lower floors it’s noisy! Even with earplugs in I could here the constant drone of traffic on the highway outside. Updated joinery and glazing might help. Overall a great stay but needs some updating to match the hype.",4
I have been at the Marina Bay Sands for 8 nights in a grand club room with city view. This hotel is just simply fantastic and the staff are even more fantastic. I am returning in about three weeks before going back to the UK and I would thoroughly recommend this hotel. It’s just an awesome experience. Thank you to everyone at the Spago and club 55 for makeing my stay such a memorable one to cherish. Also the food here is great thanks to the chefs in club55. The rooftop infinity pool and bar(Que great bar person) are out of this world and the views by day and night are second to non. Simon,5
