Comments,Ratings
"I can only say good things about this place.  Spectacular scene, especially the view from the infinity pool was gorgeous. The price is relatively high but for all the service what you get and the very modern and clean rooms, it is justified. They offered me to take a shower when I was already checked out and I had a late Airplane. ",5
"Been there twice! Such a spectacular infinity pool and the room is luxurious decor! This hotel has everything that u r looking for in Singapore, the huge high end mall, delicious food court around the side and casino can full fill your trip in marina bay sand!!",5
"Stayed for two nights and what a hotel. The view from our very large room looking over the sea was one thing, but to use the infinity pool was another. Fantastic views over the city but also the attention from the staff regarding drinks/food was very impressive.  Well worth the extra to go there. Breakfast was self service in the main lobby with an amazing selection of foods. Cannot fault it.  Meals in the area however are expensive so be careful where you eat",5
I just stayed for 1 night with my family coz i just really wanna experience the infiity pool. The guy who helped us at the front desk he was really nice helpful he even offered us a bigger room. The thing i didnt like is book for 1 room and only 2 people and 1 child can accomodate while theres a king size bed and 2 twin bed. I think they should be flexible on this. Infinity pool is worth it the view OMG stress free specially during the morning time I went to swim twice morning and night time to see the view at both time. I will definetely going back.,5
"Had high hopes for this place and was initially dissapointed. We took a flight from Bangkok purely to stay here. When we arrived we were put in a room on the second floor over looking a busy moisy road. We hike back to the reception immediately and asked for another room. The receptionist apologised and offered us another room with a late check out as an apology - we have a 9am flight!!! The place was huge and very impersonal. The pool was amazing buy heaving and very difficult to use and no way of relaxing. We tried to go into the roof bar but were told we had spend a minimum amount of money each to goin there -about £20 each. The surrounding area is very good. Singapore was great, spotlessly clean and the people were fantastic. Wish we had chosen on of the less touristy hotels",3
"You pay for what you get and this is no exception. The room was impeccable, the bathroom a palace, the view magnificent, and the staff very friendly. Be wary of the $14 drop coffee at Spago but do devote as much time to the pool as possible. Would definitely stay here again. ",5
"Stayed a week in this hotel during a business convention. It wasn't my first time in Singapore but first time in this hotel.  I must say that although the Hotel is pricey, you get your money worth.  Amazing views of Singapore from very modern rooms, food to ""live"" for, and the most likely, the spectacular roof top infinity pool in the world.  If you can treat yourself when going to Singapore this is a Must stay ",5
The hotel is a lot like a Vegas hotel.  Connected to a very large mall with very high end stores. Be prepared for very expensive meals and drinks all through Singapore.  Very pretty gardens across the street!  The zoo and the Botanical gardens are also great.  Loved Little India and China Town.  The pool here is amazing!!,4
"It is worth to come here just because of the room and the pool on the roof.  The room on 45th floor in tower 1 was unbelievable.  The view is stunning.  Huge window, all things working well.  I think they need to bring more towels, we were 4 people in the room - 2 adults and 2 children, and we constantly needed more towels, but the hotel did bring every time we asked.  Some of its service people speak only Mandarin and the communication was not always perfect, but some of them had small dictionaries and used them actively.  The pool on top is an adventure.  As a pool to swim, it's nothing special, but it's a great feeling to be there, either on the sunbed or inside the pool and watch the sky and the view.  The feeling is great.    The service in hotel varies.  In the restaurant…",4
"We stayed here for one night at the end of March, having returned to Singapore from a tour of Indonesia.  It was the perfect stop over prior to our flight back to the UK the following day.  Our room was a marina view room and the advertised view, through the floor to ceiling windows, was magnificent.  Downtown Singapore was there in all its glory, from the seaport across to Raffles and beyond.  Very good. On arrival the hotel is daunting as it is absolutely gigantic.  The check in process was smooth and well ordered however.  In addition the girl on the check in desk spotted that it was my birthday, from the passport, and by the time we got to our room there was a complimentary birthday cake (gooey chocolate) and bottle of wine waiting for us.  This was above and beyond! We went…",4
