Incredible views and surrounding amenities. Worth staying for one day just to check out the infinity pool as it cannot be accessed without booking a room! A must do for anyone visiting Singapore!!!!!! ,5,
"We stayed here for 3 days in April 2017. We had a room on the 40th floor overlooking the Gardens. Pic below,,   Room was brilliant, and large with all what you would expect from this hotel such as balcony, air con, beautiful bathroom with large walk in shower, t.v. , tea making facilities, hair dryer, iron and board, safe and free water each day. The fridge you have to pay for, 10 S dollars for your stay.  The infinity swimming pool and  Jacuzzi is all and more, plenty of beds which, if not being used the staff will remove the towels unless you have left a bag there. Drinks are expensive and add 17.5% on top of what is on the menu,, A short walk to all the main shops where you can eat in lots of restaurants.. We ate in what is very much like Food Republic, get a table and walk…",4,
"What a truly magnificent piece of imagination and engineering to build such a structure. Our suite was spacious and well equipped; clinical in its cleanliness one could say. The view of the city from our 40th floor room was extraordinary, especially at night. You cannot appreciate the shear size of this Hotel and its accompanying support shops unless you walk around in it. And the roof-top pool.......on the 57th floor....absolutely sensational! We spent the Easter weekend at Marina Bay, and it sure cost a lot....but I'd do it again in a heart-beat! Oh, and Club 55 is really good value as it includes breakfast, afternoon tea and evening drinks and canapés. The staff are so caring and nothing is too much trouble. We loved it!",5,
"Wow! I came here for my other half birthday and we were spoilt rotten by the staff at Marina Bay Sands. We first came into the check in desk greeted by Glenn who gave us a room in level 40 and late check out. He was so personable, bubbly and so considerate. When we went up to the infinity pool, breath taking views but what more impressed us was the pool staff went gave us a hand signed birthday card signed and gave us complementary fruit platter. Later on in the evening, we received a chocolate birthday cake in our room with a candle. Thank you so much staff at Marina Bay Sands. Yes it was a nice room and nice view but what made this experience memorable was that we felt special and you treated us so well. Highly recommended. Best hotel in the WORLD!!! NO THE UNIVERSE!!!",5,
"I booked a trip to Thailand for my husbands 30th and as an additional surprise booked a 2 night stay at MBS.   We flew from Phuket which only took at hour and a half and then was an additional 20 minutes to the hotel.   We arrived at around lunchtime so it was relatively busy with check-in but we were seen to quickly and it was hassle free.   The building is beautiful and the lobby is gorgeous, with plenty of open space and fresh flowers.   Despite being early for check-in our room was ready immediately which was an added bonus as we were only there for 3 days so wanted to get straight out to explore the city.   Our room was 4917 on the 49th floor and we loved it! On entering we put the key in the wall and the curtains opened automatically to reveal the most beautiful view of…",5,
"The hotel is too big and has very little charm. Check in and out is a very tiresome process. If you stay at the executive floor, you have access to the lounge 55. The service there is very good as is the food and drinks. Room cleaning is very good. Hotel is expensive relative to other hotels in the area.",3,
"Let me start with something. The minute the taxi drops you (at the main entrance at Tower 1), you will feel like ""Oh my god what did I get myself into"". That was how I felt when we first arrived and witnessed the hoards of people standing outside. I told my wife that from the looks of it, we may need to reconsider having breakfast here with the insane amount of people.   I was never so wrong in my life.   For our entire duration, every single detail in our stay was taken care of with so much attention, it felt as if we had our own personal butler. The service on the legendary infinity pool, the 4 breakfast options that we had available for us where we didn't wait a single minute to be seated, the fast check-in/check-out, the room that was a prime condition (everything worked and…",5,
"We paid a lot for this stay n faced the following issue :  1. The bathroom smells horrible. As soon as you step in you can smell foul odour ( smell like wee actually :( ) from the sewage and drain. I wrote a note to the staff when we check out but didn't hear anything back. All they care about is that they take money from you and would not do anything to compensate the bad experience.  2. Our key card is not working. We went all the way up to Level 57 n the card is not working. One of the staff show us her rude face n tell us to sort it out ourselves by going down to the concierge as she cannot help. She could have called up the concierge n double check our details n do more to ""help"". But she didn't. Mind you. That day was heavy raining pouring n imagine how frustrated we are!!…",1,
"I stayed here with a friend of mine for one night in November 2016. I had always wanted to stay at this hotel and I was not disappointed. We had a room on the 34th floor with a city view.  The check in was quick and efficiant. The room was clean and big with a fantastic view. We used the infinity pool which again was a dream of mine, it was cloudy and even rained a little but we didn't care. We used room service which was quick and excellent. I will definitely stay here again if I visit Singapore a second time. I <3 SG",5,
The Marina Bay Sands hotel was on my bucket-list from the moment I saw it. It is a must for visiting Singapore. The hotel was excellent in every aspect! The check-in and check-out process is very simple especially for such a high-class hotel. The rooms are very clean with nice views of the city or port. The hotel offers many choices for dining and also for shopping. The best part of the entire hotel is for sure the pool. The pool is an infinity pool at the top of the hotel offering views of the entire city below. You can relax at the pool while enjoying a drink or food served by very friendly hotel staff. The night offers even better views of the city below and the hotel provides warm robes for when it gets a bit cooler at night. Overall the experience at this hotel is…,5,
"If you would like to stay in luxury hotel, Marina Bay Sands should be your list. They have casino provide, food court on the ground flool, can visit Sky Park at the top of the hotel. And closed to MTR, can easy walk to Garden by the bay.",4,
"Honestly I had a big expectation about the hotel.   For the check in a long queue wait for you and if you are the visitor no sofás can be found in the área.  Due to the hugh numbers of guest is very difficult get the bellboy to guidence to you to the room.  The best in the room are the toilet that has a very commodious and the view. However nothing especial.  The best and that it makes the hotel unique is the swimming pool,  the sunrise and the sunsent are experience you don't miss.  The breaksfast was good specially the Staff. Still remember one guy called Regalado who make very gratefull the time de spend there during the morning.  ",3,
"check-in: it was crowded and confusing when we checked in at the hotel. the online reservation did not mention which tower to check in our rooms. despite we waited in queue for almost 30 minutes, we were accommodated by the manager to speed up the waiting time... and upgraded our room from deluxe twin view to grand club room!  staff: courteous and friendly. from check-in, in-room dining to bellman/porter services.  room: the suite is amazing views of the marina and gardens by the bay. spacious and clean room and luxurious bath amenities.  other: nice 24-hour high-speed complimentary wifi access. although crowded even at night, the view from the ""selfienity"" pool was such an experience.  wonderful breakfast at club55.  overall: very satisfied. yes, it is expensive but a splurge…",5,
"Stayed at orchid suite on the 53rd floor.  Room is big and spacious with spectacular view of the city.   Very nice bathroom with good amenities. Mini bar is locked unless you request for them.  Friendly staff, however no halal food around. ",4,
"must book this hotel at earily one month in advanced .. crazy damm busy hotel .. the room was very well managed & service was impeccable  they have moslly all celebrity Restaurant  including chef goden Ramasay   daniel ,,oizza   punjab Grill ,,,,,,cut .....spigo  love this amazing place",5,
we stayed for 3nt with my family in march 2017. We upgraded to premium rooms and were allowed room on 33rd floor with stunning views of garden by the bay from balcony. room was very spacious and with all luxury amenities. but what's make this hotel special is the Infiniti pool on 57th floor with amazing views of singapore also hot water jaccuzi's with views of garden by the bay was relaxing.  but it is slightly more costly then it should be. casino is just adjacent but it takes 10-15 min to get thru checking of passports. waiting line to sit in for breakfast also puts you off.,5,
"There are common threads to all reviews of Marina Bay Sands (MBS) and they're true; great views, great service, very busy, popular and very pricey. If you really want to experience Singapore however, then MBS has got to be one of the places that you have to go. There's no need for me to go into detail about the hotel, because its been reviewed many a time before. My experience of the hotel is that it is a remarkable architectual and engineering structure that really shapes the skyline and culture of Singapore.  I did not experience anything negative during my stay and everything was as it should have been for a 5-star, world class hotel. Service was great, amenities were great and there's definitely grand feel to the hotel.  The only thing I would say is that the hotel is a…",5,
"I have stayed at Marina Bay Sands around 3-4 times before primarily because I was attending conferences at the convention center across the street.  Most of my Singaporean friends have said that they would not recommend it to visitors because of the crowds.  I would tend to agree.  The hotel is very nice - spacious rooms, good restaurants and the convenience of being across the street from more wonderful restaurants and shops.  However, it is not the place to go if you want to relax.  Even at the start of the day, there is a throng waiting for tables at breakfast (a 'saner' alternative would be to take breakfast at the 57th floor).  This would give you a wonderful view of the pool which MBS is renowned for, but be forewarned that it is already teeming with people at 7am.  [On…",4,
"I spent one night at this hotel following a cruise. This is the most incredible hotel that I have ever seen. My room was in Tower 1 on the 41st floor and provided excellent views of the bay. I arrived at the hotel very early following my cruise (approximately 9:00 in the morning) and was surprised that they already had a room ready for me. I was able to check-in very early without an extra charge. My room was very spacious, clean and well-furnished.   I visited the SkyPark and saw the incredible swimming pool. Unfortunately, I did not have time to swim. I also visited the nearby Gardens by the Bay - absolutely stunning! After touring both domes at Gardens by the Bay, I explored the hotel's extremely impressive shopping mall and had dinner at a nice pizza restaurant in the mall.…",5,
"Staying at this hotel had long been on my bucket list, mainly for the Infinity Pool.  Though check-in was from 3pm, we had to check out of another place at 11am and headed here and were happy to find we could check in.   We got a Deluxe King Sky view room which offered great views of Marina Bay.  The Infinity Pool is stunning but beware, extremely busy all day!   The one thing that let us down was the fact that we went to dine one evening at the Wolfgang Puck lounge and the service was terrible. The waitress who seated us seemed uninterested and distracted and then a waiter came to take our order and I had to inform him that we hadn't even been given menus yet. We were appalled at the service and so walked out.",4,
"The prize is not really attractive compared to some other hotel in Singapore who proposed a suite for that prize.  Also the breakfast is not include in the prize of the room. No reduction for the restaurant also.  But this hotel is incredible , more than 2000 rooms 3 towers and a nice view on the sky buildings . ",3,
"Just the perfect place to stay in Singapore, everything was exceptional including service in the many restaurants, housemaids, to the reception staff !!  Location is close to everything and not far by taxi to orchard road for your shopping about $11 in a taxi !!",5,
"We had decided to lash out and have 1 night here just to say we had stayed but never in our wildest dreams did we think it would be so special. We were travelling with our adult daughter so had booked 2 standard rooms. As we were already in Singapore we decided to leave our bags at the MBS and come back after lunch to check in. I was told that there was an early check in possibility so joined a very long line of other people waiting to do the same. As I was waiting at the end of the line I was approached by a staff member who offered to take me to an alternate check in desk to speed things up. This is where I must mention Yukiwa, the staff member that checked us in. She told me that she could upgrade us to a 2 bedroom suite if we wanted to. I must admit initially I was a little…",5,
