This hotel has good location and easy to access through public transportation MRT. No need to worry about the strong sunshine or raining.  The staffs are very friendly and helpful. Thank you for putting my three rooms nearby for me to take care of the elderly easier. Well done!  Best Regards  Catherine,5,Date
"We stayed in room 3777 which is a City view room and the views did not disappoint.  At check in and check out the staff was very courteous although I cannot say the same for the bell desk and porters who are very indifferent.  The pool is probably the best feature of the hotel where time flies and you do not feel the need to leave.  The hotel is a little crowded and you will find crowds of group tours or seminars at all times. The breakfast is very good with a huge spread. If staying at MBS I would recommend not to leave the hotel and see the museum, malls etc located in the vicinity. Overall a great experience.",5,1/1/2021
"I'd say that a stay here is more about an 'experience' rather than a 'hotel'.  So consider it a bit like an adult Disneyland as opposed to a luxury hotel.  Overall we had a great stay and there is nothing I could fault.  We had a club room on the 37th floor facing the city for 2 nights.  Room was of good size, bathroom especially spacious and well appointed.  The 'hiding' of the nespresso machine away in the wardrobe and the sugar / tea in a drawer with  a lack of convenient plugs was the only minor grumble about the room.  I would complement the hotel for the quietness of the room - I normally am a light sleeper and get woken by any noise, but the room was very quiet.   So what about the title of this review.  Well really, I suspect many stay here for the same reason we did -…",4,1/2/2021
"I had always wanted to stay here after coming across it studying. Upon arrival I queued at the normal reception, I was approached by a member of staff named Mokoko, taken to the VIP reception and they gave me one extra hour to check out the next day which was a nice bonus. The room was clean and the view was wonderful.  The swimming pool is everything I expected. It's an incredible experience spending the day there. It wasn't busy and I easily found space for myself.  The service I received and the experience made it worth the money.",5,1/3/2021
"It was an amazing experience for us , very nice location in front of the bay and the financial center from one side and in front of the sea and the gardens of the bay from the other side .  Rooms are big , really big I booked the sea view room .  Room is not so fancy but clean with full amenities  Sky park in the last floor is just amazing   The only problems  It's huge hotel with too many guests some times it get very crowded in the lobby and in the reception and most of the times the staff are dealing with this in very fast and nice way   Highly recommended hotel !",5,1/4/2021
"Stayed for one night, one of the Best hotel in Singapore, check in is very smooth . Rooms are very Nice and spacious with fantastic view of Garden by Bay,Pool and sky Bar is amassing .Must Stay Hotel for at least 2 nights",5,1/5/2021
"A nice modern property - but as many have said probably not worth the money you pay for - though somewhere you stay for one night - just so that you can experience the infinity pool on the 57th floor with its amazing Singapore skyline view  (which is only open to hotel guests).  Yes - the pool is busy with lots of children running around, but if you time your visit for early morning or later on in the evening, alot of the crowds have disappeared by then.  There have been lots of complaints about long check in check out times - and i'd agree the number of desks in wholly inadequate for the number of guests the hotel caters for - especially at peak times. However, our experience was that this took no time at all.  Our room itself was big, clean and modern - and we got a…",4,1/6/2021
"I stayed at the Marina Bay Sands during a 2 days stopover in Singapore on my way to Australia. It was a very comfortable stay in a stunning suite. Everything was perfect, from the moment I arrived, the porter took care of my luggage, check-in was fast and efficient. The room was beautiful and so very well appointed. The entire experience was a real delight, mostly thanks to the professional and helpful staff. Thank you!",5,1/7/2021
"We stay 4 nights in this luxury Hotel. The pool is amazing. Room have a good size. Roomservice, Housekeeping and Concierge was perfect. Many thanks goes to Stewart. He knows insidertips.  The lobby looks a Airport Terminal.  One time in your life you must stay in this Hotel when you have the pleasure to be in Singapur.",5,1/8/2021
"Stayed in this hotel during the period November 13 - 15, 2013. This hotel is an excellent property, but is too pricey and not very well managed. The breakfast wasn't included in the price of SGD 693.25.",3,1/9/2021
